Site,Date,Time BST,E. Coli,IE,Hubac,Rubac,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Nidd @ Lido,06/05/2025,13:28,2000.0,160.0,5.1,3.3,,,,,,,,
Nidd @ Lido,31/05/2025,15:30,900.0,210.0,4.8,4.7,,,,,,,,
Nidd @ Lido,23/06/2025,14:05,780.0,220.0,4.2,N/F,,,,,,,,
Nidd @ Lido,16/07/2025,12:34,1400.0,530.0,4.6,3.5,,,,,,,,
Nidd @ Lido,25/07/2025,11:26,2400.0,420.0,5.1,N/F,,,,,,,,
Nidd @ Lido,31/07/2025,13:18,720.0,110.0,4.2,N/F,,,,,,,,
Nidd @ Lido,23/09/2025,13:25,5900.0,790.0,5.3,5.8,,,,,,,,
Nidd @ Lido,06/08/2025,10:00,1100.0,170.0,4.5,<2,,,,,,,,
Nidd @ Lido,06/08/2025,11:00,1100.0,86.0,4.7,3.3,,,,,,,,
Nidd @ Lido,06/08/2025,11:30,1200.0,63.0,4.8,3,,,,,,,,
Nidd @ Lido,06/08/2025,14:30,910.0,72.0,4.6,N/F,,,,,,,,
Nidd @ Hampsthwaite,06/08/2025,09:31,1800.0,280.0,3.9,4.8,,,,,,,,
Nidd @ Hampsthwaite,06/08/2025,10:30,1600.0,390.0,3.5,4.8,,,,,,,,
Nidd @ Hampsthwaite,06/08/2025,13:00,890.0,340.0,3.6,3.9,,,,,,,,
Nidd @ Hampsthwaite,06/08/2025,14:00,900.0,420.0,3.3,3.9,,,,,,,,
Nidd @ Hampsthwaite,06/08/2025,14:30,2100.0,380.0,3.7,5.4,,,,,,,,
Nidd @ Lido,20/08/2025,13:08,180.0,27.0,3.7,N/F,,,,,,,,
Nidd @ Lido,20/08/2025,15:08,270.0,10.0,3.8,N/F,,,,,,,,
Nidd @ Lido,20/08/2025,15:38,200.0,36.0,3.9,N/F,,,,,,,,
Nidd @ Hampsthwaite,20/08/2025,11:30,2200.0,480.0,4.7,4.3,,,,,,,,
Nidd @ Hampsthwaite,20/08/2025,13:00,2500.0,380.0,4.4,3.8,,,,,,,,
